USER	ITEM	SCORE
1	9490	6
1	37020	4
1	38985	4
1	15314	4
1	31997	3
1	36438	3
1	36706	3
1	29312	3
1	3453	3
1	18688	3
1	8482	3
1	14874	3
1	18511	3
1	9788	3
1	8948	3
1	4077	3
1	19665	3
1	36512	3
1	6343	3
1	8123	3
2	1922	1
2	2322	1
3	10215	1
3	15989	1
3	44089	1
3	35721	1
3	24330	1
3	7952	1
3	19342	1
3	19683	1
3	29018	1
3	31638	1
4	4374	1
4	17522	1
4	19105	1
4	38848	1
4	18614	1
4	7190	1
4	15792	1
4	15745	1
4	2644	1
4	15339	1
5	29156	2
5	23652	1
5	23093	1
5	39992	1
5	2063	1
5	36934	1
6	23808	2
6	1907	2
6	17033	2
6	6266	2
6	35147	1
6	15593	1
6	39013	1
6	421	1
6	42481	1
6	12790	1
6	12786	1
6	22396	1
6	27247	1
6	23112	1
6	34229	1
6	15920	1
6	7775	1
6	25983	1
6	19331	1
6	28418	1
7	38666	1
7	24386	1
7	35353	1
7	8337	1
7	37232	1
7	30389	1
7	3552	1
7	2051	1
7	32290	1
7	15675	1
7	12133	1
7	4314	1
8	2935	2
8	12699	1
8	21006	1
8	13278	1
8	23767	1
8	14881	1
8	23060	1
8	3947	1
8	25975	1
8	29231	1
8	32550	1
8	21463	1
8	13395	1
8	23900	1
8	5343	1
8	14124	1
8	18981	1
8	42822	1
8	9293	1
8	3703	1
9	29786	1
9	41195	1
9	6191	1
10	25795	1
10	13823	1
10	43980	1
10	8161	1
10	37182	1
10	13185	1
11	27547	2
11	41189	2
11	27393	1
11	35540	1
11	35423	1
11	21440	1
11	38069	1
11	8082	1
11	38120	1
11	35269	1
11	11457	1
11	39745	1
11	18804	1
11	40814	1
11	16941	1
11	7927	1
11	15267	1
11	34763	1
11	29544	1
11	4780	1
12	28418	1
12	1907	1
12	32724	1
12	9052	1
12	13298	1
13	20743	4
13	31844	3
13	29349	3
13	15281	2
13	35099	2
13	28584	2
13	8337	2
13	9278	2
13	42109	2
13	16271	2
13	21675	1
13	5990	1
13	19486	1
13	38688	1
13	13447	1
13	22241	1
13	16482	1
13	41983	1
13	35054	1
13	38800	1
14	6961	1
14	11793	1
14	2492	1
15	21670	1
15	1194	1
15	28507	1
15	17327	1
15	4641	1
15	18779	1
15	22685	1
15	25224	1
15	21960	1
15	24543	1
16	5366	1
16	2493	1
16	11405	1
16	495	1
808	30209	2
808	10816	2
808	18129	2
808	21561	2
808	42218	1
808	34539	1
808	18063	1
808	23523	1
808	12491	1
808	1192	1
808	15583	1
